disputeId,type,tier,expectedWinner,actualWinner,correct,openGas,resolveGas,totalGas,resolutionTimeMinutes
255,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
256,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
257,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
258,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
259,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
260,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
261,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
262,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
263,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
264,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
265,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
266,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
267,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
268,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
269,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
270,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
271,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
272,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
273,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
274,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
275,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
276,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
277,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
278,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
279,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
280,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
281,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
282,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
283,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
284,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
285,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
286,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
287,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
288,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
289,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
290,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
291,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
292,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
293,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
294,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
295,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
296,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
297,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
298,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
299,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
300,LateDelivery,Tier1,buyer,buyer,true,127310,59654,186964,5
301,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
302,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
303,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
304,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
305,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
306,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
307,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
308,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
309,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
310,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
311,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
312,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
313,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
314,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
315,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
316,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
317,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
318,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
319,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
320,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
321,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
322,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
323,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
324,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
325,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
326,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
327,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
328,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
329,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
330,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
331,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
332,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
333,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
334,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
335,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
336,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
337,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
338,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
339,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
340,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
341,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
342,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
343,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
344,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
345,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
346,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
347,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
348,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
349,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
350,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
351,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
352,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
353,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
354,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
355,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
356,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
357,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
358,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
359,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
360,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
361,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
362,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
363,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
364,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
365,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
366,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
367,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
368,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
369,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
370,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
371,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
372,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
373,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
374,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
375,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
376,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
377,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
378,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
379,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
380,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
381,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
382,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
383,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
384,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
385,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
386,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
387,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
388,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
389,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
390,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
391,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
392,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
393,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
394,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
395,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
396,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
397,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
398,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
399,Shortage,Tier1,buyer,buyer,true,147222,59753,206975,5
